Бубен шамана

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Зеркальный веер кинжалов

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Призрачной накидки

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Табак

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Небесного ока

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Амулета из когтей

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Ритуальная маска

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Призрачной брони

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Серебряных наручей

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Призрачного щита

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Свиток Сапог пророчества

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Крылатый гнев

Удалить	
Атака	 
Маг. атака	
Защита участка	
Защита	
Маг. защита	
Атака Огнём	
Атака Холодом	
Вампиризм	
Качество	 
Цена	
Количество	
Текст	
Одет	Нет
Точночть	 


Потерянный топор

Удалить
